name,author,full_name,description,link,category,language,stars,forks,open_issues,last_updated,license,repo_type,what_it_does,how_to_use
python-telegram-bot,python-telegram-bot,python-telegram-bot/python-telegram-bot,We have made you a wrapper you can't refuse,https://github.com/python-telegram-bot/python-telegram-bot,"bot, chatbot, framework, python, telegram",Python,28745,5985,19,2026-02-03T18:36:14Z,GNU General Public License v3.0,Library/Module,We have made you a wrapper you can't refuse,AI Summary failed
TelegramGroup,AZeC4,AZeC4/TelegramGroup,2026最新悄咪咪收集的10000+个Telegram群合集，附全网最有趣好用的机器人BOT🤖【dianbaodaohang.com】,https://github.com/AZeC4/TelegramGroup,"telegram, telegram-api, telegram-bot, telegram-bot-api, telegram-bots, telegram-channel, telegramgroups",,20079,1363,13,2026-02-03T15:59:50Z,None,Library/Module,2026最新悄咪咪收集的10000+个Telegram群合集，附全网最有趣好用的机器人BOT🤖【dianbaodaohang.com】,AI Summary failed
kirara-ai,lss233,lss233/kirara-ai,🤖 可 DIY 的 多模态 AI 聊天机器人 | 🚀 快速接入 微信、 QQ、Telegram、等聊天平台 | 🦈支持DeepSeek、Grok、Claude、Ollama、Gemini、OpenAI | 工作流系统、网页搜索、AI画图、人设调教、虚拟女仆、语音对话 | ,https://github.com/lss233/kirara-ai,"bard, bot, chatglm-6b, chatgpt, deepseek, discord, ernie, go-cqhttp, grok, mirai, new-bing, ollama, openai, poe, qq, qqbot, sydney, telegram, wechat, xinghuo",Python,18274,1824,7,2026-02-03T14:21:23Z,GNU Affero General Public License v3.0,Library/Module,🤖 可 DIY 的 多模态 AI 聊天机器人 | 🚀 快速接入 微信、 QQ、Telegram、等聊天平台 | 🦈支持DeepSeek、Grok、Claude、Ollama、Gemini、OpenAI | 工作流系统、网页搜索、AI画图、人设调教、虚拟女仆、语音对话 | ,AI Summary failed
AstrBot,AstrBotDevs,AstrBotDevs/AstrBot,"Agentic IM Chatbot infrastructure that integrates lots of IM platforms, LLMs, plugins and AI features. Your clawdbot alternative. ✨",https://github.com/AstrBotDevs/AstrBot,"agent, ai, chatbot, chatgpt, docker, gemini, gpt, llama, llm, mcp, openai, python, qq, qqbot, qqchannel, telegram",Python,15527,1232,432,2026-02-03T19:42:08Z,GNU Affero General Public License v3.0,Application/Bot,"Agentic IM Chatbot infrastructure that integrates lots of IM platforms, LLMs, plugins and AI features. Your clawdbot alternative. ✨",AI Summary failed
LangBot,langbot-app,langbot-app/LangBot,"Production-grade platform for building agentic IM bots - 生产级多平台智能机器人开发平台. 提供 Agent、知识库编排、插件系统 / Bots for Discord / Slack / LINE / Telegram / WeChat(企业微信, 企微智能机器人, 公众号) / 飞书 / 钉钉 / QQ e.g. Integrated with ChatGPT(GPT), DeepSeek, Dify, n8n, Langflow, Coze, Claude, Gemini, MiniMax, Ollama, SiliconFlow, Moonshot, GLM, clawdbot / moltbot / openclaw",https://github.com/langbot-app/LangBot,"agent, coze, deepseek, dify, dingtalk, discord, feishu, kook, langbot, lark, line, llm, n8n, ollama, openai, plugins, qq, rag, telegram, wechat",Python,15135,1289,99,2026-02-03T15:40:02Z,Apache License 2.0,Application/Bot,"Production-grade platform for building agentic IM bots - 生产级多平台智能机器人开发平台. 提供 Agent、知识库编排、插件系统 / Bots for Discord / Slack / LINE / Telegram / WeChat(企业微信, 企微智能机器人, 公众号) / 飞书 / 钉钉 / QQ e.g. Integrated with ChatGPT(GPT), DeepSeek, Dify, n8n, Langflow, Coze, Claude, Gemini, MiniMax, Ollama, SiliconFlow, Moonshot, GLM, clawdbot / moltbot / openclaw",AI Summary failed
Telethon,LonamiWebs,LonamiWebs/Telethon,"Pure Python 3 MTProto API Telegram client library, for bots too!",https://github.com/LonamiWebs/Telethon,"hacktoberfest, library, mtproto, python-library, telegram, telegram-api, telethon",Python,11784,1614,30,2026-02-03T19:43:20Z,MIT License,Library/Module,"Pure Python 3 MTProto API Telegram client library, for bots too!",AI Summary failed
node-telegram-bot-api,yagop,yagop/node-telegram-bot-api,Telegram Bot API for NodeJS,https://github.com/yagop/node-telegram-bot-api,"api, bot, bot-framework, chatbot, nodejs, telegram",JavaScript,9099,1631,120,2026-02-03T06:19:50Z,MIT License,Library/Module,Telegram Bot API for NodeJS,AI Summary failed
telegraf,telegraf,telegraf/telegraf,Modern Telegram Bot Framework for Node.js,https://github.com/telegraf/telegraf,"bot, bot-api, bot-framework, hacktoberfest, middleware, telegraf, telegram, telegram-bot, telegram-bot-api, telegram-bots",TypeScript,9064,957,72,2026-02-02T19:13:37Z,MIT License,Library/Module,Modern Telegram Bot Framework for Node.js,AI Summary failed
pyTelegramBotAPI,eternnoir,eternnoir/pyTelegramBotAPI,Python Telegram bot api.,https://github.com/eternnoir/pyTelegramBotAPI,"bot-api, python-api, telegram, telegram-bot, telegram-bot-api",Python,8671,2140,7,2026-02-03T10:23:36Z,GNU General Public License v2.0,Library/Module,Python Telegram bot api.,AI Summary failed
telegram-bot-api,go-telegram-bot-api,go-telegram-bot-api/telegram-bot-api,Golang bindings for the Telegram Bot API,https://github.com/go-telegram-bot-api/telegram-bot-api,"golang, hacktoberfest, telegram",Go,6368,983,171,2026-02-03T14:39:09Z,MIT License,Library/Module,Golang bindings for the Telegram Bot API,AI Summary failed
